unique_id,timestamp,x_shape,eval_test,model_name,model_version,model_version_note,runtime
be12201b-cabb-4ed4-968e-e629203a2c56,1617965829.3640904,"(398, 6)",1592,Hong Kong-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
109ac907-f54c-4dea-9c43-2846b52e35d4,1617965829.3818908,"(418, 6)",2592,Singapore-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
90b85206-0536-4f94-b7e8-836c2e3d358a,1617965829.6666305,"(581, 6)",24773,all-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
dfae4211-99de-4d91-82df-2cf2992fad47,1617965829.8741357,"(581, 6)",24229,United Kingdom-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
f30514ce-896a-4ab1-a85f-5cb8982ea168,1617965830.017649,"(581, 6)",1007,Portugal-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
732efddd-19d2-429a-82cf-1f967c434e5b,1617965830.212562,"(581, 6)",337,Germany-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
e0747cfe-419d-4695-9bdd-32fe272c5452,1617965830.4143932,"(578, 6)",2000,EIRE-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
8df7ee3f-4028-4ee6-ba72-a568f56a2343,1617965830.5924554,"(581, 6)",595,France-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
fe7a6f72-27e7-4bb2-bb17-34c1f4f89c25,1617965830.7565377,"(566, 6)",114,Netherlands-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
51ae7671-1d31-4a3c-b7fe-925b23da57bf,1617965830.904192,"(573, 6)",168,Spain-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
57a7a6d9-ffb4-49f6-9083-6198efafff4b,1617965831.0033107,"(563, 6)",4122,Norway-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
827734e4-8565-42e0-975a-9280c1644448,1617965831.0896716,"(398, 6)",902,Hong Kong-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
6725dad9-fb0e-4fca-ae75-66d27100e169,1617965831.170899,"(418, 6)",2328,Singapore-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
5a0fbe45-3900-4d52-b1f3-88dccef39eac,1617966544.056422,"(581, 6)",73875,all-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
e1fe730d-1d48-4416-98e1-2bde6f9cc4c9,1617966544.0739672,"(581, 6)",72681,United Kingdom-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
9a9f37c4-802b-4a72-9db1-4af0d4455582,1617966544.0907226,"(581, 6)",1334,Portugal-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
27a3c5ae-1c8a-49c2-affe-aa97e4ccdc34,1617966544.1080897,"(581, 6)",865,Germany-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
5516b314-47a4-4d28-821c-03d7f2f4f4c9,1617966544.1254733,"(578, 6)",3418,EIRE-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
940bf5bf-26f9-4be8-bb70-d903c6a8ed63,1617966544.1424613,"(581, 6)",1094,France-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
bd924f45-4b5c-4a4e-ab08-b9231b3a579a,1617966544.1588795,"(566, 6)",254,Netherlands-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
f56292d6-af00-482e-86aa-92149aefad5d,1617966544.1770594,"(573, 6)",805,Spain-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
3dc83564-b3dd-41a1-9b4e-c61a0e0e4b79,1617966544.1938322,"(563, 6)",7001,Norway-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
8603e62f-2239-4661-bee9-fbdce6ca8049,1617966544.211492,"(398, 6)",1592,Hong Kong-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
1ad856d0-a8fd-4c11-922d-9002d35a4a26,1617966544.229258,"(418, 6)",2592,Singapore-ridge_regression,0.1,RF on AAVAIL revenue data,000:00:00
52c5ad57-1852-426a-b1c0-797cc4ba69e3,1617966544.5182662,"(581, 6)",24773,all-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
de714957-e34b-49f7-ad92-3b04a44f568a,1617966544.7672665,"(581, 6)",24229,United Kingdom-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
2a1f22e4-c521-4cf9-a050-31683e980443,1617966544.9293923,"(581, 6)",1007,Portugal-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
95ffb971-cea7-4c81-959e-663f339dbb1e,1617966545.1506567,"(581, 6)",337,Germany-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
3f2cabf6-5a16-406f-b3d2-a10e2320c5b0,1617966545.3474793,"(578, 6)",2000,EIRE-gradient_boosting_regression,0.1,Gradient Boosting Regression on AAVAIL churn,000:00:00
